Word,Skewness,Kurtosis,Reg_Slope,Reg_Error,KMeans_Cluster
12,0.16729394180701967,0.028754786519159872,0.31391934097307678,0.52880188817008156,2
1945,0.77392306597863325,0.64072810712066108,0.48938052584472003,0.059566153860443845,4
1967,0.7733745839750199,0.62093297937753877,0.48160119080908237,0.072939639592072461,4
1970,0.6954595036829303,0.50974032553304516,0.49259612457132657,0.091183850079363207,4
3,0.16141245053399966,0.034869251080419085,0.39745616674027029,0.3616831454032936,0
acts,0.17315790349530277,0.027662885396117883,0.22665543374624703,0.26233797200328729,0
advances,0.13404926109820628,0.013336334859001315,0.73654668560257952,0.45460757708302713,3
americans,0.11790798623421922,0.027561487501927627,0.58555822868882712,0.31688811954510415,0
anatomy,0.16223896557100545,0.027874933038038199,0.28655963874221174,0.42078383869287062,0
art,0.020223672280287611,0.0060512560391716404,0.65561538628724814,0.66850516855694841,3
aspects,0.10310418382765303,0.0069175548482615515,0.79922303992653665,0.63281187059218036,3
atlas,0.051180122987615949,0.0038853632306007648,0.72241445158798767,0.67982129611565056,3
authority,0.14086990550733716,0.021255952270928167,0.4249845214641087,0.60333188224875778,2
bar,0.093939115621806277,0.0074672807508567723,0.36820393430834203,0.82037421747750239,2
based,0.16898433197791596,0.024578309118936409,0.73458750720777122,0.39835553260754508,3
biography,0.18202094086366047,0.035949012945189443,0.32068870180192022,0.37271534597555739,0
biological,0.10617813939759076,0.0084437732615310346,0.77574927461092202,0.38141170751633069,3
book,0.054613972086687543,0.0015154852784014295,0.1850940708256007,0.71253697223819135,2
britain,0.19844407633775571,0.042747143533358296,0.32309957590251565,0.36796087690354817,0
british,0.14357312186590873,0.026218155766887269,0.27669992140772787,0.25183606398853897,0
c,0.11903223439995522,0.01002772635353376,0.11280816378065167,0.25038125806982647,0
care,0.12115267586605651,0.011161276323243709,0.7301669051001759,0.67060608219850371,3
cases,0.05510426805977435,0.0063354167726213653,0.237073556115586,0.48260264179662382,2
catholic,0.19241460618453499,0.048668573715142327,0.35992514125571856,0.28644135656531372,0
challenge,0.093423780854105784,0.0043608221235002997,0.8280876107726507,0.57407342877157175,3
changes,0.095218527887289378,0.016020947365069236,0.57176146121144589,0.42892491005200983,3
charter,0.18237907881782686,0.047067514804986589,0.30441747411124509,0.29144217777423337,0
choice,0.13629372135201442,0.020323861166559171,0.36322117280299132,0.6216894411095355,2
cities,0.096729059737984763,0.015360353341655475,0.62030648259396404,0.46008789584052301,3
civil,0.085241053836783418,0.011755355000187803,0.4469697183868977,0.5812813683740764,2
civilization,0.110622358370701,0.011884481767500749,0.54131886973703813,0.72021235601342681,2
color,0.11505528664321572,0.020510339581142074,0.63253508698467087,0.39604874935035334,3
colorado,0.10079310831084354,0.009388608121087532,0.53759611999287837,0.78271778108999601,2
coming,0.16103760191802111,0.043177611297760855,0.48472253344308386,0.35138010715558221,0
commentary,0.17053220877123065,0.03457452562506759,0.42105236854673667,0.46451835831039412,0
companies,0.35831956931822428,0.21198183242748767,0.45572559969223397,0.14779553869851589,0
